What,Prerequisites,
"Musique, science, histoire",Savoir lire une partition. Il estindispensablede réviser un manuel de solfège élémentaire avant le début du cours.,
Knowledge Systems,"calculus, data structures, working knowledge of two higher-level languages (including one procedural language)",
Computer Modelling for Electromagnetics: Visibility of the Invisible,"Physics – electrostatics and magnetostatics. Differential equations, vector calculus.",
Introduction à la gestion des risques,"Ce cours s'adresse a priori à tous les élèves intéressés par la gestion des risques et désireux de s'initier à une question qui tient une place prépondérante tant dans le monde de l'entreprise, de la fonction publique que dans la vie de tous les jours. Ce cours est également ouvert à la formation permanente. Il ne nécessite a priori aucun pré-requis. Il est accompagné d'un support de cours.",
Polymers and Composites (Properties and Durability),The course is an initiation to polymer science and applications and aims at students knowing a little about materials and the mechanics of materials.,
Acoustique du BTP,None.,
Introduction to Musculoskeletal and Osteoarticular Biomechanics,Basic knowledge in mechanics.,
Operational Research,Basic knowledge of:Linear Algebra; Calculus; Probability & Statistics; Programming (such as Fortran90).Basic knowledge of Excel.,
Polymers and Composites (Properties and Durability),The course is an initiation to polymer science and applications and aims at students knowing a little about materials and the mechanics of materials.,
From Creativity to Innovation,None,
Systèmes de production et de logistique,"Notions de base de recherche opérationnelle souhaitées, mais non indispensables.",
History of Mathematics,"School Mathematics, basics of Higher Mathematics",
(GIS) Geopraphic Information System,Basic knowledge in applied mathematics and digital design.,
Models of Random Structures,Basic knowledge in probability theory and in stochastic processes,
Biodépollution,,
Systèmes de production et  logistique,"Notions de base de recherche opérationnelle souhaitées, mais non indispensables.",
La performance théâtrale,None,
Electric Vehicles: the bigger picture,"Minimum knowledge of electrical energy technology:-Basic knowledge of electrical power conversion (motors and drives, batteries)-Basic knowledge of electrical power systems",
Développement et relations Nord-Sud,IntÃ©rÃªt pour les questions abordÃ©es. MaÃ®trise du franÃ§ais.,
Hands on Modelling Transport Phenomena in Soils and on Hydrogeophysical Characterization,#NAME?,
Physique et philosophie: quels liens?,Pas de prérequis.,
Introduction to Vehicle Dynamics,Dynamics,
Découvrir une cathédrale,Connaissances de base de mécanique,
Développement et relations Nord-Sud,Intérêt pour les questions abordées. Maîtrise du français.,
"On Chaos, Quanta and Daemons","Calculus (differentiate a function, plot a curve …).Basic ideas",
La résilience urbaine : une nouvelle approche de la ville dans son environnement (cours conçu et coprésenté par l'Ecole des Ingénieurs de la Ville de Paris et l'Ecole Nationale des Ponts et Chaussées),Bon niveau en français et en anglais.Bon niveau scientifique,
Vehicular Crashworthiness,"Introductory courses in Numerical Methods in Engineering (ideally finite elements), Structural Mechanics, Material modelling..",
European Water and Sanitation Services vs Sustainable Development,English level : fluent or good.,
Negotiation,Good Level in English,
Non Destructive Evaluation and Characterisation  of Materials,"For Physicists and Material Science students ; basic notions of Electromagnetism, Acoustics, Quantum Mechanics and Optics are necessary : wave propagation and Maxwell's equations, Nuclear Magnetic Resonance.",
High Data Rate Radio Interfaces for Cellular Mobile Radio,"Basic knowledge on - Electrical engineering - Telecommunication systems- Digital communications, modulation and coding- Data networks (LAN, OSI layers, MAC, LLC, IP)Some notions on 2G (GSM) and 3 G (UMTS R99) systems will be helpful.",
Bioraffinerie : nouvelles stratégies d'utilisation du végétal,"Cet enseignement s’adresse à un public varié ayant des connaissances de bases en chimie, biochimie ou procédés.",
Changement climatique - controverses et enjeux,,
Conception et réhabilitation d’éco-quartiers : une nouvelle façon de concevoir la ville,aucun,
